"Step","[palm,9k]L1R24H12_crate_recur24 - test_acc/testNN_board[24]","[palm,9k]L1R24H12_crate_recur24 - test_acc/testNN_board[24]__MIN","[palm,9k]L1R24H12_crate_recur24 - test_acc/testNN_board[24]__MAX","[palm,9k]L1R24H12_et - test_acc/testNN_board[24]","[palm,9k]L1R24H12_et - test_acc/testNN_board[24]__MIN","[palm,9k]L1R24H12_et - test_acc/testNN_board[24]__MAX","[palm,9k]L1R24H12_crate - test_acc/testNN_board[24]","[palm,9k]L1R24H12_crate - test_acc/testNN_board[24]__MIN","[palm,9k]L1R24H12_crate - test_acc/testNN_board[24]__MAX","[palm,9k]L1R24H12_reproduce_icml - test_acc/testNN_board[24]","[palm,9k]L1R24H12_reproduce_icml - test_acc/testNN_board[24]__MIN","[palm,9k]L1R24H12_reproduce_icml - test_acc/testNN_board[24]__MAX","[palm,9k]L1R24H12_dim768_layer1_recur24_transformer_baseline_2midrmsnorm_512GELU_best_adamw0.1_newcondition_multiplier4_input_cond_lrdecay - test_acc/testNN_board[24]","[palm,9k]L1R24H12_dim768_layer1_recur24_transformer_baseline_2midrmsnorm_512GELU_best_adamw0.1_newcondition_multiplier4_input_cond_lrdecay - test_acc/testNN_board[24]__MIN","[palm,9k]L1R24H12_dim768_layer1_recur24_transformer_baseline_2midrmsnorm_512GELU_best_adamw0.1_newcondition_multiplier4_input_cond_lrdecay - test_acc/testNN_board[24]__MAX"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","0","0","0","0","0","0","0","0","0","0","0","0","0.3","0.3","0.3"
"25","0","0","0","0","0","0","0","0","0","0.4","0.4","0.4","0.1","0.1","0.1"
"26","0","0","0","0","0","0","0","0","0","0.5","0.5","0.5","0.2","0.2","0.2"
"27","0","0","0","0","0","0","0","0","0","1.1","1.1","1.1","0.4","0.4","0.4"
"28","0","0","0","0","0","0","0","0","0","1.4","1.4","1.4","0.5","0.5","0.5"
"29","0","0","0","0","0","0","0","0","0","1.1","1.1","1.1","0.7","0.7","0.7"
"30","0","0","0","0","0","0","0","0","0","1.3","1.3","1.3","0.7","0.7","0.7"
"31","0","0","0","0","0","0","0","0","0","1.4","1.4","1.4","1.1","1.1","1.1"
"32","0","0","0","0","0","0","0","0","0","1.8","1.8","1.8","2","2","2"
"33","0","0","0","0","0","0","0","0","0","6.8","6.8","6.8","1.6","1.6","1.6"
"34","0","0","0","0","0","0","0","0","0","9.5","9.5","9.5","2.3","2.3","2.3"
"35","0","0","0","0","0","0","0","0","0","14.8","14.8","14.8","2.6","2.6","2.6"
"36","0","0","0","0","0","0","0","0","0","17.1","17.1","17.1","3","3","3"
"37","0","0","0","0","0","0","0","0","0","19.6","19.6","19.6","5","5","5"
"38","0","0","0","0","0","0","0","0","0","19.6","19.6","19.6","5","5","5"
"39","0","0","0","0","0","0","0","0","0","19.4","19.4","19.4","5.9","5.9","5.9"
"40","0","0","0","0","0","0","0","0","0","22.3","22.3","22.3","6","6","6"
"41","0","0","0","0","0","0","0","0","0","24.3","24.3","24.3","9.4","9.4","9.4"
"42","0","0","0","0","0","0","0","0","0","27.3","27.3","27.3","8.1","8.1","8.1"
"43","0","0","0","0","0","0","0","0","0","25","25","25","10.5","10.5","10.5"
"44","0","0","0","0","0","0","0","0","0","29","29","29","11.4","11.4","11.4"
"45","0","0","0","0","0","0","0","0","0","30.6","30.6","30.6","13.4","13.4","13.4"
"46","0","0","0","0","0","0","0","0","0","32.2","32.2","32.2","14.2","14.2","14.2"
"47","0","0","0","0","0","0","0","0","0","31.2","31.2","31.2","15.9","15.9","15.9"
"48","0","0","0","0","0","0","0","0","0","33.3","33.3","33.3","17.4","17.4","17.4"
"49","0","0","0","0","0","0","0","0","0","33.8","33.8","33.8","18.1","18.1","18.1"
"50","0","0","0","0","0","0","0","0","0","34.9","34.9","34.9","18.2","18.2","18.2"
"51","0","0","0","0","0","0","0","0","0","35.5","35.5","35.5","20.7","20.7","20.7"
"52","0","0","0","0","0","0","0","0","0","35.4","35.4","35.4","21.7","21.7","21.7"
"53","0","0","0","0","0","0","0","0","0","34.1","34.1","34.1","21.3","21.3","21.3"
"54","0","0","0","0","0","0","0","0","0","34.9","34.9","34.9","22.2","22.2","22.2"
"55","0","0","0","0","0","0","0","0","0","37.6","37.6","37.6","24","24","24"
"56","0","0","0","0","0","0","0","0","0","36.7","36.7","36.7","24.1","24.1","24.1"
"57","0","0","0","0","0","0","0","0","0","34.8","34.8","34.8","25.2","25.2","25.2"
"58","0","0","0","0","0","0","0","0","0","39.5","39.5","39.5","26.9","26.9","26.9"
"59","0","0","0","0","0","0","0","0","0","38.2","38.2","38.2","27.3","27.3","27.3"
"60","0","0","0","0","0","0","0","0","0","40","40","40","27.2","27.2","27.2"
"61","0","0","0","0","0","0","0","0","0","35.6","35.6","35.6","27.7","27.7","27.7"
"62","0","0","0","0","0","0","0","0","0","39.7","39.7","39.7","27.7","27.7","27.7"
"63","0","0","0","0","0","0","0","0","0","40.9","40.9","40.9","28.4","28.4","28.4"
"64","0","0","0","0","0","0","0","0","0","40.8","40.8","40.8","29","29","29"
"65","0","0","0","0","0","0","0","0","0","42.5","42.5","42.5","29.4","29.4","29.4"
"66","0","0","0","0","0","0","0","0","0","40.6","40.6","40.6","30","30","30"
"67","0","0","0","0","0","0","0","0","0","39.3","39.3","39.3","31.1","31.1","31.1"
"68","0","0","0","0","0","0","0","0","0","40.8","40.8","40.8","30.4","30.4","30.4"
"69","0","0","0","0","0","0","0","0","0","42.9","42.9","42.9","31.4","31.4","31.4"
"70","0","0","0","0","0","0","0","0","0","42.9","42.9","42.9","32.2","32.2","32.2"
"71","0","0","0","0","0","0","0","0","0","43","43","43","31","31","31"
"72","0","0","0","0","0","0","0","0","0","43.1","43.1","43.1","31.1","31.1","31.1"
"73","0","0","0","0","0","0","0","0","0","41.7","41.7","41.7","36.7","36.7","36.7"
"74","0","0","0","0","0","0","0","0","0","43.1","43.1","43.1","36.2","36.2","36.2"
"75","0","0","0","0","0","0","0","0","0","43.5","43.5","43.5","33.4","33.4","33.4"
"76","0","0","0","0","0","0","0","0","0","42.4","42.4","42.4","34.6","34.6","34.6"
"77","0","0","0","0","0","0","0","0","0","42.3","42.3","42.3","35.8","35.8","35.8"
"78","0","0","0","0","0","0","0","0","0","41.7","41.7","41.7","39","39","39"
"79","0","0","0","0","0","0","0","0","0","42.2","42.2","42.2","36.3","36.3","36.3"
"80","0","0","0","0","0","0","0","0","0","44.5","44.5","44.5","38.5","38.5","38.5"
"81","0","0","0","0","0","0","0","0","0","44.2","44.2","44.2","38.4","38.4","38.4"
"82","0","0","0","0","0","0","0","0","0","44.8","44.8","44.8","38.1","38.1","38.1"
"83","0","0","0","0","0","0","0","0","0","45.2","45.2","45.2","36.4","36.4","36.4"
"84","0","0","0","0","0","0","0","0","0","45.9","45.9","45.9","38.4","38.4","38.4"
"85","0","0","0","0","0","0","0","0","0","45","45","45","36.7","36.7","36.7"
"86","0","0","0","0","0","0","0","0","0","44.3","44.3","44.3","39.3","39.3","39.3"
"87","0","0","0","0","0","0","0","0","0","45.9","45.9","45.9","38.8","38.8","38.8"
"88","0","0","0","0","0","0","0","0","0","45.4","45.4","45.4","37.5","37.5","37.5"
"89","0","0","0","0","0","0","0","0","0","44.8","44.8","44.8","38.2","38.2","38.2"
"90","0","0","0","0","0","0","0","0","0","42.6","42.6","42.6","39.8","39.8","39.8"
"91","0","0","0","0","0","0","0","0","0","46","46","46","40","40","40"
"92","0","0","0","0","0","0","0","0","0","45.1","45.1","45.1","38.4","38.4","38.4"
"93","0","0","0","0","0","0","0","0","0","45.9","45.9","45.9","40.8","40.8","40.8"
"94","0","0","0","0","0","0","0","0","0","45.5","45.5","45.5","41.1","41.1","41.1"
"95","0","0","0","0","0","0","0","0","0","46.2","46.2","46.2","41.7","41.7","41.7"
"96","0","0","0","0","0","0","0","0","0","46.6","46.6","46.6","41.4","41.4","41.4"
"97","0","0","0","0","0","0","0","0","0","46.3","46.3","46.3","43.1","43.1","43.1"
"98","0","0","0","0","0","0","0","0","0","45.2","45.2","45.2","42.1","42.1","42.1"
"99","0","0","0","0","0","0","0","0","0","46.5","46.5","46.5","40.3","40.3","40.3"
"100","0","0","0","0","0","0","0","0","0","44.2","44.2","44.2","42.6","42.6","42.6"
"101","0","0","0","0","0","0","0","0","0","45.1","45.1","45.1","39.9","39.9","39.9"
"102","0","0","0","0","0","0","0","0","0","47.1","47.1","47.1","40.3","40.3","40.3"
"103","0","0","0","0","0","0","0","0","0","47.4","47.4","47.4","43","43","43"
"104","0","0","0","0","0","0","0","0","0","45.9","45.9","45.9","41.4","41.4","41.4"
"105","0","0","0","0","0","0","0","0","0","49.2","49.2","49.2","44.4","44.4","44.4"
"106","0","0","0","0","0","0","0","0","0","47.4","47.4","47.4","40.9","40.9","40.9"
"107","0","0","0","0","0","0","0","0","0","45.5","45.5","45.5","42","42","42"
"108","0","0","0","0","0","0","0","0","0","46.7","46.7","46.7","43.6","43.6","43.6"
"109","0","0","0","0","0","0","0","0","0","49.1","49.1","49.1","43.4","43.4","43.4"
"110","0","0","0","0","0","0","0","0","0","49.3","49.3","49.3","41.8","41.8","41.8"
"111","0","0","0","0","0","0","0","0","0","51.2","51.2","51.2","43.4","43.4","43.4"
"112","0","0","0","0","0","0","0","0","0","46","46","46","42.4","42.4","42.4"
"113","0","0","0","0","0","0","0","0","0","50.1","50.1","50.1","43.1","43.1","43.1"
"114","0","0","0","0","0","0","0","0","0","50.5","50.5","50.5","43.5","43.5","43.5"
"115","0","0","0","0","0","0","0","0","0","50.3","50.3","50.3","42.7","42.7","42.7"
"116","0","0","0","0","0","0","0","0","0","49.4","49.4","49.4","44.1","44.1","44.1"
"117","0","0","0","0","0","0","0","0","0","48.8","48.8","48.8","45","45","45"
"118","0","0","0","0","0","0","0","0","0","51.6","51.6","51.6","44.4","44.4","44.4"
"119","0","0","0","0","0","0","0","0","0","48.9","48.9","48.9","45.2","45.2","45.2"
"120","0","0","0","0","0","0","0","0","0","48.3","48.3","48.3","46.2","46.2","46.2"
"121","0","0","0","0","0","0","0","0","0","47.9","47.9","47.9","47","47","47"
"122","0","0","0","0","0","0","0","0","0","49.5","49.5","49.5","44.6","44.6","44.6"
"123","0","0","0","0","0","0","0","0","0","51.5","51.5","51.5","47.3","47.3","47.3"
"124","0","0","0","0","0","0","0","0","0","51.1","51.1","51.1","45.5","45.5","45.5"
"125","0","0","0","0","0","0","0","0","0","50.2","50.2","50.2","44.3","44.3","44.3"
"126","0","0","0","0","0","0","0","0","0","50.3","50.3","50.3","43.8","43.8","43.8"
"127","0","0","0","0","0","0","0","0","0","50.1","50.1","50.1","45.7","45.7","45.7"
"128","0","0","0","0","0","0","0","0","0","53.1","53.1","53.1","46.5","46.5","46.5"
"129","0","0","0","0","0","0","0","0","0","51.8","51.8","51.8","44.6","44.6","44.6"
"130","0","0","0","0","0","0","0","0","0","49.9","49.9","49.9","45.3","45.3","45.3"
"131","0","0","0","0","0","0","0","0","0","49.5","49.5","49.5","46.2","46.2","46.2"
"132","0","0","0","0","0","0","0","0","0","50.3","50.3","50.3","45.8","45.8","45.8"
"133","0","0","0","0","0","0","0","0","0","50.3","50.3","50.3","46.6","46.6","46.6"
"134","0","0","0","0","0","0","0","0","0","52.1","52.1","52.1","46.8","46.8","46.8"
"135","0","0","0","0","0","0","0","0","0","51","51","51","46.6","46.6","46.6"
"136","0","0","0","0","0","0","0","0","0","50.8","50.8","50.8","45.9","45.9","45.9"
"137","0","0","0","0","0","0","0","0","0","52.1","52.1","52.1","45.5","45.5","45.5"
"138","0","0","0","0","0","0","0","0","0","52","52","52","47.4","47.4","47.4"
"139","0","0","0","0","0","0","0","0","0","52.4","52.4","52.4","47.9","47.9","47.9"
"140","0","0","0","0","0","0","0","0","0","51.8","51.8","51.8","47.1","47.1","47.1"
"141","0","0","0","0","0","0","0","0","0","51.8","51.8","51.8","46.1","46.1","46.1"
"142","0","0","0","0","0","0","0","0","0","53.3","53.3","53.3","46.6","46.6","46.6"
"143","0","0","0","0","0","0","0","0","0","53.1","53.1","53.1","46","46","46"
"144","0","0","0","0","0","0","0","0","0","52.3","52.3","52.3","47","47","47"
"145","0","0","0","0","0","0","0","0","0","52.7","52.7","52.7","48","48","48"
"146","0","0","0","0","0","0","0","0","0","53.1","53.1","53.1","47.7","47.7","47.7"
"147","0","0","0","0","0","0","0","0","0","52.2","52.2","52.2","47.5","47.5","47.5"
